x,y,z
0.106,0.064,-0.015
0.121,0.034,-0.015
0.14,-0.011,-0.026
0.091,0.06,-0.011
0.091,0.068,0.091
0.162,0.17,0.121
0.124,0.155,0.109
0.128,0.091,0.045
0.045,0.0,0.015
0.102,0.072,0.008
0.121,0.015,0.091
0.162,-0.023,0.023
0.106,-0.008,-0.004
0.034,0.034,-0.045
0.072,-0.015,-0.049
0.121,0.004,-0.011
0.143,0.072,0.038
0.109,-0.045,0.098
-0.008,0.045,0.019
0.034,-0.008,-0.083
0.151,0.008,-0.072
0.109,0.026,0.019
0.124,0.053,0.041
0.106,0.049,-0.06
0.083,-0.008,0.03
0.162,0.023,0.011
0.064,0.075,0.0
0.087,0.068,-0.117
0.155,-0.023,-0.109
0.091,0.015,-0.004
0.079,0.015,0.064
0.121,-0.015,0.053
0.045,-0.015,0.03
0.011,-0.008,0.072
0.064,0.087,0.053
0.019,0.083,-0.015
0.026,0.094,-0.045
0.106,0.087,-0.011
0.03,0.053,-0.121
0.041,0.023,0.008
0.121,0.015,0.004
0.124,0.026,-0.128
0.075,0.008,-0.181
0.041,-0.008,-0.102
0.057,0.011,0.011
0.068,0.008,0.034
0.14,0.049,-0.109
0.117,0.053,-0.049
0.128,0.026,0.068
0.079,0.057,0.026
0.094,0.091,0.008
0.072,0.098,-0.079
0.098,0.094,-0.064
0.121,0.087,0.117
0.015,0.079,0.0
0.072,0.094,-0.049
0.087,0.015,-0.083
0.075,0.038,0.0
0.045,0.015,0.057
0.117,0.026,-0.026
0.109,0.068,-0.034
0.075,0.128,0.0
0.083,0.079,-0.083
0.083,0.079,-0.019
0.045,0.068,-0.004
0.079,0.075,-0.053
0.196,-0.011,0.008
0.087,0.03,-0.079
0.06,0.072,-0.087
0.06,0.064,-0.004
0.091,0.06,0.06
0.155,0.026,0.041
0.219,0.015,0.023
0.174,-0.015,0.087
0.109,0.019,0.008
0.068,0.023,-0.03
0.189,0.008,0.124
0.185,-0.008,0.008
0.162,0.023,-0.128
0.113,0.072,-0.079
0.102,-0.011,-0.155
0.124,0.023,-0.03
0.143,0.079,0.019
0.098,0.038,-0.06
0.143,0.03,-0.094
0.072,0.083,-0.064
0.147,0.049,0.03
0.098,0.015,0.0
0.121,0.03,-0.019
0.038,0.079,-0.049
0.094,0.038,0.06
0.143,0.008,0.087
0.102,0.034,0.045
0.14,0.015,0.068
0.083,0.0,-0.045
0.124,-0.008,0.045
0.155,0.064,0.019
0.128,0.098,0.091
0.087,0.075,0.083
0.06,0.053,-0.03
0.143,0.008,-0.011
0.109,-0.038,0.011
0.023,0.004,0.038
0.158,-0.019,0.041
0.166,-0.011,0.008
0.151,0.023,0.026
0.109,0.155,-0.053
0.102,0.026,-0.136
0.087,0.03,-0.091
0.064,0.094,0.136
0.102,0.124,-0.041
0.136,0.072,-0.011
0.113,0.011,0.015
0.128,0.094,0.102
0.14,0.053,0.102
0.174,0.038,0.17
0.106,0.06,0.06
0.174,-0.03,-0.091
0.151,0.008,0.072
0.109,0.064,-0.049
0.087,0.087,-0.057
0.211,-0.023,-0.03
0.155,0.075,0.109
0.091,0.049,0.0
0.041,-0.015,0.041
0.072,0.094,0.072
0.087,0.057,-0.034
0.079,0.06,-0.045
0.109,0.091,-0.011
0.151,-0.015,0.068
0.091,-0.03,0.068
0.087,0.015,-0.041
0.128,0.079,0.057
0.072,0.041,0.091
0.162,0.094,-0.06
0.14,0.064,-0.038
0.136,0.038,-0.087
0.132,0.008,-0.091
0.087,0.06,-0.06
0.109,0.023,-0.128
0.0,0.057,0.083
-0.011,0.019,-0.023
0.045,0.094,-0.049
0.072,0.034,-0.068
0.109,0.064,0.0
0.094,0.057,0.0
0.057,0.06,0.019
0.121,0.0,0.019
0.17,0.034,-0.117
0.143,0.121,0.041
0.14,0.075,-0.079
0.083,0.083,-0.045
0.094,0.098,-0.004
0.132,0.004,-0.041
0.087,0.015,-0.102
0.087,0.015,0.094
0.117,0.075,0.049
0.109,0.06,0.015
0.17,0.034,0.094
0.113,0.045,-0.019
0.075,0.026,-0.147
0.132,0.019,0.128
0.049,0.011,0.049
0.053,0.045,0.072
0.121,0.045,0.0
0.098,0.075,0.075
0.143,0.026,-0.038
0.053,0.03,-0.068
0.083,0.106,-0.094
0.079,0.0,-0.079
0.155,0.079,0.015
0.038,0.128,-0.057
0.132,0.057,0.008
0.075,-0.011,0.06
0.166,0.008,0.041
0.2,0.011,0.06
0.072,0.057,-0.008
0.083,0.049,-0.023
0.204,0.083,-0.045
0.091,0.117,-0.091
0.079,0.181,0.03
0.015,0.083,0.015
0.064,0.064,-0.053
0.143,0.03,-0.045
0.068,0.023,-0.06
0.155,0.06,-0.049
0.098,0.079,-0.019
0.087,0.098,0.019
0.079,0.079,-0.026
0.128,0.004,-0.026
0.094,0.034,0.008
0.072,0.023,-0.034
0.049,0.053,-0.034
0.06,0.064,0.008
0.132,0.094,0.075
0.113,0.087,0.091
0.098,0.068,0.038
0.087,0.041,0.083
0.136,0.008,0.041
0.102,0.034,0.094
0.124,0.023,0.132
0.117,0.113,0.038
0.136,0.079,-0.049
0.102,0.011,-0.079
0.098,0.034,-0.004
0.075,0.038,-0.03
0.091,0.015,0.053
0.045,-0.057,-0.106
0.091,0.038,-0.026
0.124,0.064,0.079
0.128,0.045,0.045
0.128,0.03,0.015
0.174,0.087,-0.079
0.132,0.034,-0.128
0.064,0.008,-0.053
0.117,0.075,-0.079
0.162,-0.015,-0.091
0.091,0.026,-0.132
0.106,0.026,-0.068
0.106,0.049,-0.041
0.162,0.008,-0.041
0.128,0.068,-0.03
0.102,0.079,-0.038
0.091,0.015,0.004
0.136,0.102,-0.011
0.17,0.041,-0.113
0.057,0.072,-0.03
0.106,0.011,-0.045
0.174,0.03,0.045
0.098,0.091,0.053
0.189,0.064,0.0
0.106,0.034,0.008
0.109,-0.03,0.004
0.147,0.004,0.008
0.064,0.034,0.034
0.155,0.038,0.023
0.113,0.072,-0.026
0.068,0.075,0.038
0.026,0.068,0.015
0.034,0.068,0.064
0.06,0.045,0.053
0.106,0.113,-0.034
0.17,0.091,0.0
0.087,0.011,-0.034
0.087,0.034,0.049
0.087,0.083,0.053
0.094,0.0,0.128
0.075,0.019,0.008
0.14,0.087,0.045
0.113,-0.049,0.041
0.075,0.023,-0.072
0.06,0.091,0.03
0.17,0.109,0.034
0.113,-0.011,-0.011
0.091,0.008,-0.026
0.14,-0.004,-0.015
0.158,0.034,0.072
0.072,-0.023,-0.008
0.136,-0.008,0.0
0.151,0.023,-0.068
0.049,-0.057,0.034
0.041,0.057,0.011
0.083,0.049,-0.049
0.136,0.011,0.038
0.14,-0.008,-0.098
0.064,0.038,-0.155
0.14,0.068,-0.041
0.155,0.0,0.083
0.041,0.057,0.14
0.102,-0.026,0.068
0.14,0.049,-0.049
0.079,0.023,-0.011
0.06,-0.041,-0.083
0.041,0.03,-0.098
0.162,0.023,-0.072
0.064,0.106,0.004
0.06,0.091,0.015
0.124,0.094,0.004
0.064,0.094,0.03
0.124,0.068,0.008
0.174,0.041,-0.011
0.109,0.019,0.038
0.091,0.019,-0.026
0.079,-0.011,0.06
0.094,0.072,0.034
0.087,0.015,0.0
0.087,-0.004,-0.057
0.113,-0.015,-0.011
0.094,0.026,-0.011
0.068,0.041,-0.019
0.098,-0.008,-0.045
0.151,0.004,0.068
0.075,0.079,0.026
0.094,0.057,0.008
0.17,0.106,0.019
0.102,0.057,0.057
0.094,0.011,0.011
0.098,-0.038,-0.008
0.109,-0.03,-0.087
0.083,0.0,-0.072
0.072,0.041,0.03
0.049,0.019,-0.057
0.03,0.091,0.011
0.124,0.091,0.015
0.132,0.057,-0.011
0.147,0.004,0.03
0.094,0.049,-0.113
0.094,0.121,0.0
0.064,0.023,0.045
0.053,0.162,-0.008
0.064,0.083,-0.204
0.102,0.034,0.038
0.136,-0.004,0.038
0.075,0.14,0.057
0.174,0.011,0.136
0.151,-0.019,0.162
0.057,0.053,-0.083
0.113,0.053,-0.023
0.06,0.019,-0.06
0.015,0.091,-0.008
0.06,0.023,-0.023
0.128,0.034,0.041
0.068,-0.023,-0.045
0.151,-0.011,0.011
0.136,-0.026,0.011
0.072,0.004,-0.03
0.117,0.008,0.034
-0.008,0.053,0.008
0.041,0.068,0.038
0.034,0.098,0.041
0.06,0.075,-0.181
0.121,0.034,-0.083
0.117,0.087,-0.019
0.068,0.023,-0.008
0.053,0.094,0.049
0.057,0.038,-0.023
0.166,0.015,0.03
0.155,-0.041,0.041
0.079,-0.034,-0.011
0.053,-0.019,-0.03
0.091,0.057,0.019
0.015,0.004,0.094
0.083,0.053,0.0
0.102,0.053,0.034
0.136,0.026,0.019
0.026,0.015,-0.064
0.124,0.068,-0.038
0.087,0.094,0.064
0.121,0.057,-0.045
0.098,0.079,-0.106
0.121,-0.015,-0.019
0.136,0.011,-0.072
0.158,0.057,-0.094
0.102,0.079,0.004
0.075,0.079,-0.041
0.083,0.015,0.091
0.091,0.008,-0.034
0.072,0.045,-0.041
0.083,0.034,-0.049
0.143,0.106,0.038
0.091,0.083,0.011
0.026,0.053,0.015
0.057,0.004,0.004
0.117,0.038,-0.026
0.072,0.03,-0.026
0.094,-0.011,0.023
0.121,0.094,0.109
0.098,0.023,-0.041
0.143,0.064,0.14
0.155,0.113,0.03
0.064,0.064,-0.038
0.143,0.008,0.057
0.102,0.015,-0.049
0.106,0.06,0.038
0.109,0.008,-0.038
0.158,0.026,-0.064
0.072,-0.053,-0.068
0.136,0.057,-0.034
0.106,0.008,-0.011
0.068,0.03,-0.053
0.151,-0.011,-0.026
0.117,0.068,-0.053
0.102,0.026,0.045
0.083,0.049,0.079
0.091,-0.015,-0.049
0.064,0.094,0.038
0.132,0.053,0.004
0.109,0.041,0.06
0.087,0.011,-0.004
0.158,0.045,-0.034
0.121,0.011,-0.094
0.143,0.034,-0.087
0.045,-0.004,-0.008
0.057,0.083,-0.109
0.026,0.121,-0.011
0.03,0.106,-0.072
0.106,-0.004,-0.064
0.06,-0.008,-0.098
0.083,0.004,-0.03
0.158,-0.011,-0.03
0.147,-0.057,-0.06
0.075,0.004,-0.004
0.057,0.068,0.041
0.075,0.004,0.136
0.079,-0.034,0.015
0.087,0.008,0.049
0.162,0.03,0.008
0.038,0.098,0.023
0.094,0.068,-0.034
0.087,0.102,-0.053
0.102,0.049,0.064
0.121,0.064,0.045
0.079,0.023,-0.045
-0.038,-0.045,-0.068
0.094,-0.034,0.004
0.026,0.041,-0.038
0.083,0.087,0.0
0.083,0.132,0.117
0.098,0.045,0.128
0.049,0.057,0.106
0.102,0.011,0.06
0.075,0.019,-0.026
0.064,-0.004,-0.034
-0.008,0.087,-0.019
0.03,0.015,-0.053
0.094,-0.015,-0.008
0.06,0.06,-0.057
0.068,0.072,0.023
0.151,0.091,0.14
0.132,0.075,0.079
0.087,0.034,0.03
0.072,-0.026,0.072
0.158,-0.064,0.023
0.068,0.038,-0.057
0.068,0.023,0.03
0.102,0.053,0.015
0.079,0.083,-0.03
0.109,0.053,-0.038
0.136,0.068,0.011
0.091,-0.015,-0.124
0.102,0.072,-0.106
0.124,0.019,0.094
0.189,0.03,0.019
0.166,0.053,0.011
0.083,0.041,0.041
0.06,-0.004,-0.041
-0.026,0.053,0.004
0.023,0.019,-0.06
0.064,0.068,0.03
0.049,0.045,-0.068
0.034,0.094,0.053
0.0,-0.026,-0.011
0.038,0.015,0.008
0.102,0.068,-0.091
0.117,0.113,-0.136
0.14,0.087,-0.041
0.03,0.053,0.034
0.038,0.03,0.049
0.14,0.06,0.041
0.147,0.102,0.034
0.117,0.079,0.098
0.064,0.106,0.008
0.045,0.015,0.075
0.083,-0.008,0.049
0.14,0.023,-0.011
0.136,0.011,0.094
0.117,0.034,0.072
0.189,-0.015,0.109
0.14,0.041,0.053
0.124,-0.049,0.026
0.113,0.045,-0.034
0.147,0.0,-0.057
0.121,0.053,-0.049
0.075,0.03,-0.091
0.053,-0.03,0.038
0.132,0.004,-0.034
0.155,0.094,0.068
0.098,0.064,-0.011
0.177,0.049,-0.041
0.124,0.06,-0.026
0.132,0.049,-0.034
0.124,-0.034,-0.034
0.106,-0.068,0.053
0.075,-0.015,0.06
0.162,0.087,0.023
0.143,0.124,-0.079
0.064,0.038,0.034
0.147,0.045,-0.166
0.038,0.049,-0.053
0.072,0.041,0.121
0.098,0.045,0.034
0.045,0.087,0.034
0.087,0.06,0.064
0.098,-0.008,0.109
0.155,-0.008,-0.034
0.079,-0.015,-0.019
0.106,0.034,-0.019
0.079,0.053,0.015
0.06,0.087,-0.038
0.121,0.0,-0.045
0.045,0.038,0.015
0.06,0.038,-0.124
0.083,0.072,-0.102
0.102,0.072,-0.023
0.109,0.117,0.113
0.109,0.053,-0.083
0.072,0.004,-0.083
0.053,-0.008,-0.026
0.109,0.049,0.023
0.113,0.057,-0.06
0.151,-0.011,0.0
0.151,-0.004,-0.045
0.128,0.053,-0.03
0.019,0.113,0.041
0.102,-0.023,0.045
0.068,-0.023,-0.015
0.14,0.023,0.004
0.192,0.064,0.045
0.162,0.087,0.008
0.147,0.015,0.004
0.06,0.094,0.079
0.117,0.053,0.045
0.128,0.034,-0.038
0.143,0.049,-0.083
0.113,0.087,0.034
0.109,0.057,0.026
0.162,0.004,0.064
0.083,0.064,-0.008
0.117,0.102,-0.094
0.14,0.038,-0.083
0.102,0.091,-0.015
0.098,0.158,-0.06
0.03,0.011,0.026
0.019,-0.03,-0.041
0.147,0.053,0.011
0.151,0.053,0.026
0.158,0.026,-0.121
0.147,0.109,0.053
0.064,0.041,-0.113
0.075,0.008,-0.091
0.023,0.045,-0.102
0.057,-0.03,-0.041
0.053,0.038,-0.011
0.136,0.045,-0.053
0.147,0.098,-0.083
0.106,0.064,-0.038
0.072,-0.004,-0.045
0.128,0.011,-0.106
0.102,0.057,-0.068
0.106,0.034,-0.038
0.14,-0.019,0.136
0.075,0.004,-0.064
0.143,0.045,-0.019
0.057,-0.015,0.041
0.079,0.015,0.072
0.109,0.124,0.113
0.064,0.053,-0.049
0.147,-0.038,0.023
0.177,-0.008,-0.004
0.091,0.023,0.026
0.117,0.045,0.094
0.098,-0.011,-0.03
0.098,-0.019,-0.004
0.057,0.038,0.011
0.072,0.03,0.151
0.079,0.0,0.117
0.14,-0.026,0.109
0.057,-0.011,0.181
0.177,0.057,-0.004
0.158,0.057,0.079
0.102,0.0,0.004
0.17,0.034,0.008
0.102,0.113,0.068
0.106,0.008,0.072
0.064,0.053,-0.023
0.17,0.049,-0.072
0.158,-0.06,0.023
0.128,0.106,0.019
0.128,-0.026,0.057
0.026,0.045,-0.068
0.106,0.143,-0.045
0.011,0.079,-0.079
0.102,0.034,0.113
0.03,0.041,-0.03
0.079,0.072,-0.03
0.072,0.034,0.0
0.075,-0.004,-0.03
0.117,0.057,-0.064
0.019,0.072,0.06
0.06,-0.004,0.098
0.06,0.038,-0.049
0.094,0.136,-0.079
0.166,0.053,-0.049
0.038,0.072,-0.109
0.177,0.06,0.023
0.06,0.087,0.015
0.03,0.034,0.0
0.06,0.019,0.004
0.094,-0.004,-0.041
0.072,0.023,0.026
0.053,0.026,-0.026
0.068,0.026,-0.008
0.106,-0.019,-0.106
0.109,0.049,-0.102
0.177,0.045,-0.087
0.136,0.06,-0.075
0.06,0.109,-0.079
0.132,0.068,-0.057
0.132,-0.038,-0.004
0.106,0.102,0.06
0.068,0.109,0.064
0.094,0.079,0.068
0.14,0.038,-0.053
0.132,0.038,-0.079
-0.023,0.072,-0.075
0.098,-0.011,-0.064
0.162,0.011,0.023
0.143,0.098,-0.049
0.053,-0.034,0.008
0.072,0.072,0.136
0.087,0.06,-0.011
0.132,0.057,-0.023
0.083,0.106,0.023
-0.019,0.057,-0.034
0.075,0.053,-0.045
0.155,0.049,-0.143
0.147,0.008,-0.102
0.068,0.068,-0.132
0.109,0.011,-0.015
0.06,-0.015,0.068
0.098,0.053,0.087
0.166,0.064,-0.124
0.192,0.06,0.03
0.041,0.004,-0.023
0.098,-0.03,0.083
0.162,0.049,0.041
0.151,0.038,0.023
0.068,0.17,-0.026
0.136,0.087,-0.026
0.068,0.057,0.015
0.136,0.128,-0.019
0.079,0.079,-0.041
0.06,0.098,0.075
0.128,0.06,0.023
0.113,-0.03,0.008
0.053,-0.019,-0.034
0.094,0.015,0.008
0.109,0.008,-0.026
0.155,0.079,0.008
0.075,0.0,0.049
0.087,0.023,-0.075
0.091,-0.011,-0.011
0.011,-0.06,-0.068
0.117,-0.004,0.023
0.155,0.06,0.026
0.102,0.011,0.094
0.075,-0.03,0.109
0.109,0.072,-0.083
0.162,0.057,0.008
0.068,0.075,-0.072
0.075,0.0,-0.113
0.034,-0.015,0.0
0.045,0.068,-0.083
0.113,0.143,-0.079
0.124,0.045,-0.102
0.083,-0.004,-0.143
0.113,-0.019,-0.06
0.038,-0.026,-0.174
0.068,0.057,0.03
0.083,0.098,-0.098
0.087,0.083,-0.079
0.136,0.03,0.015
0.132,0.011,-0.015
0.053,0.094,-0.019
0.094,-0.045,0.0
0.113,-0.008,0.011
0.151,0.102,0.068
0.136,0.083,-0.102
0.098,0.087,-0.03
0.072,0.181,-0.026
0.011,0.072,-0.03
0.011,0.124,0.03
0.087,0.049,0.057
0.158,0.045,0.064
0.087,0.045,0.004
0.041,0.057,0.049
0.06,0.034,0.041
0.151,-0.011,0.019
0.185,0.098,-0.015
0.045,0.091,0.049
0.038,0.075,-0.038
0.019,0.038,-0.004
0.087,0.072,-0.015
0.091,0.011,0.026
0.132,0.019,-0.072
0.177,0.023,0.011
0.151,-0.008,0.185
0.113,0.06,0.019
0.057,0.075,-0.045
0.083,0.023,-0.041
0.109,-0.03,-0.045
0.124,0.034,0.109
0.064,0.06,-0.004
0.147,0.102,-0.049
0.075,0.0,0.026
0.075,0.143,0.023
0.106,0.072,0.0
0.174,0.102,0.053
0.094,0.0,0.072
0.094,0.064,0.049
0.109,0.072,0.041
0.113,0.019,-0.03
0.14,0.072,-0.079
0.106,0.064,-0.064
0.166,0.109,0.064
0.109,0.094,0.008
0.132,0.083,-0.045
0.053,0.026,-0.087
0.015,0.023,-0.026
0.068,0.079,0.068
0.143,0.015,0.03
0.106,-0.026,-0.03
0.143,0.041,0.038
0.053,0.068,-0.064
0.019,-0.004,0.026
0.041,0.015,-0.026
0.102,0.023,-0.011
0.091,-0.034,-0.041
0.147,0.008,-0.03
0.049,0.041,-0.023
0.166,0.064,-0.03
0.128,0.015,-0.075
0.045,0.023,-0.057
0.109,0.038,-0.008
0.14,0.064,-0.041
0.075,-0.004,-0.011
0.113,0.008,-0.041
0.075,0.011,-0.041
0.079,0.064,0.045
0.098,0.034,-0.06
0.151,0.057,-0.079
0.06,0.049,-0.034
0.068,-0.057,-0.064
0.106,-0.03,-0.083
0.083,0.087,0.057
0.128,0.057,-0.034
0.083,0.019,-0.094
0.072,0.034,-0.026
0.121,0.083,0.075
0.083,-0.038,0.072
0.049,0.034,0.004
0.094,0.034,0.019
0.143,0.023,0.109
0.151,0.026,0.011
0.102,0.083,0.068
0.177,0.14,0.083
0.106,0.068,-0.041
0.057,0.079,-0.064
0.072,-0.004,-0.026
0.143,0.038,-0.075
0.106,0.106,0.0
0.091,0.03,-0.03
0.102,0.057,-0.015
0.147,0.034,-0.102
0.068,0.026,-0.015
0.102,0.045,-0.102
0.192,0.068,-0.008
0.147,0.158,-0.015
0.106,0.094,0.03
0.079,0.075,-0.038
0.174,0.147,-0.004
0.075,0.038,0.06
0.102,0.094,0.038
0.075,0.011,-0.102
0.049,-0.03,-0.075
0.121,0.06,0.019
0.151,0.015,0.041
0.019,-0.026,-0.079
0.109,-0.034,-0.034
0.113,0.015,-0.106
0.132,0.023,-0.155
0.057,0.053,-0.14
0.151,0.041,-0.064
0.03,0.064,0.004
0.072,0.03,0.041
0.132,0.034,0.038
0.155,0.106,-0.004
0.128,0.053,0.113
0.17,0.098,0.0
0.136,0.083,-0.064
0.177,-0.008,-0.049
0.128,0.064,-0.004
0.087,0.075,-0.124
0.128,0.057,-0.023
0.075,0.023,-0.079
0.109,0.079,-0.023
0.147,0.023,0.034
0.155,0.023,0.023
0.019,0.015,0.019
0.102,-0.049,0.023
0.147,0.057,0.087
0.117,0.121,0.019
0.091,0.121,-0.011
0.155,-0.019,-0.023
0.143,0.072,-0.091
0.068,0.068,-0.023
0.019,0.026,-0.045
0.128,0.109,-0.011
0.041,0.087,-0.049
0.072,0.019,-0.008
0.094,0.011,0.053
0.117,0.109,0.004
0.143,0.03,-0.034
0.049,0.004,0.106
0.087,0.075,0.057
0.106,0.034,0.064
0.094,0.064,-0.026
0.106,0.045,0.094
0.185,0.034,0.068
0.192,-0.026,-0.03
0.106,-0.011,0.0
0.06,0.023,-0.079
0.106,0.094,-0.019
0.091,0.102,-0.064
0.121,-0.026,-0.064
0.136,0.053,-0.015
0.117,0.011,-0.049
0.038,0.026,0.026
0.053,-0.026,-0.049
0.049,-0.045,-0.087
0.057,0.019,0.038
0.174,0.057,0.075
0.132,-0.004,0.064
0.151,0.079,0.049
0.249,-0.026,0.143
0.2,-0.019,0.087
0.166,-0.03,0.034
0.132,0.026,0.011
0.098,-0.008,-0.128
0.064,-0.004,-0.008
0.106,0.057,-0.023
0.132,0.026,0.008
0.17,0.019,-0.106
0.068,0.121,-0.158
0.06,0.038,-0.057
0.026,0.06,-0.011
0.091,0.064,0.041
0.045,0.147,-0.049
0.106,0.068,0.064
0.083,0.041,-0.045
0.041,0.03,0.045
0.094,-0.06,0.045
0.102,-0.06,-0.015
0.136,0.06,-0.128
0.064,-0.011,-0.072
0.079,-0.023,-0.015
0.094,-0.019,-0.083
0.083,0.113,0.004
0.185,-0.026,0.026
0.094,0.023,-0.004
0.079,-0.019,0.008
0.075,0.034,0.057
0.083,-0.019,0.075
0.151,0.004,-0.06
0.124,0.102,-0.023
0.072,0.075,0.008
0.057,0.023,0.026
0.113,0.041,-0.03
0.128,0.132,0.128
0.174,0.049,0.113
0.064,0.019,0.026
0.075,0.038,-0.008
0.128,0.03,0.03
0.14,0.038,-0.011
0.109,0.045,0.011
0.102,0.045,0.041
0.14,0.06,0.019
0.008,0.03,-0.057
0.019,0.045,-0.075
-0.004,0.079,0.008
0.06,0.087,0.045
0.196,0.053,-0.057
0.091,0.068,-0.038
0.091,-0.045,-0.049
0.185,-0.015,-0.049
0.136,-0.034,-0.106
0.026,0.023,-0.045
0.038,0.098,0.004
0.083,0.038,0.023
0.008,0.023,0.015
0.068,0.064,0.004
0.091,0.106,-0.03
0.124,0.053,-0.015
0.098,0.019,0.038
0.14,0.087,-0.128
0.14,0.143,0.023
0.132,0.06,0.03
0.102,0.068,-0.06
0.121,-0.023,-0.094
0.14,0.004,-0.045
0.147,0.053,-0.068
0.079,0.038,0.03
0.091,0.049,0.147
0.14,-0.008,-0.019
0.185,-0.008,0.004
0.124,0.075,-0.004
0.102,0.102,0.0
0.06,0.091,-0.015
0.06,0.041,0.049
0.023,0.0,0.0
0.011,0.023,0.023
0.053,0.053,0.004
0.094,0.106,-0.023
0.166,0.072,-0.06
0.079,0.008,-0.068
0.147,0.015,-0.023
0.151,0.053,-0.068
0.132,0.011,0.026
0.098,-0.045,-0.083
0.128,0.057,-0.034
0.136,0.079,0.079
0.094,0.041,-0.038
0.011,0.053,-0.075
0.053,0.026,0.049
0.064,-0.079,-0.041
0.143,0.057,0.019
0.087,0.109,-0.083
0.049,0.008,-0.053
0.087,0.079,0.117
0.124,-0.004,0.094
0.102,0.038,0.075
0.004,0.045,-0.034
-0.023,0.068,-0.057
0.094,0.038,-0.038
0.151,0.06,-0.189
0.102,0.087,-0.023
0.091,0.015,-0.045
-0.023,0.075,-0.03
0.072,0.068,0.038
0.121,0.038,-0.053
0.124,0.087,0.004
0.106,0.091,-0.008
0.041,0.045,-0.045
0.106,0.064,-0.011
0.068,0.064,-0.079
0.151,0.045,-0.06
0.155,0.019,-0.011
0.124,0.004,0.019
0.109,-0.015,0.019
0.091,0.03,-0.008
0.102,0.041,0.008
0.045,0.041,-0.075
0.075,0.049,-0.041
-0.026,0.045,-0.045
0.094,0.128,-0.011
0.094,0.049,0.098
0.106,0.038,0.008
0.072,-0.03,0.023
0.045,0.053,0.0
0.113,0.038,0.057
0.117,0.026,0.14
0.091,-0.015,0.064
0.102,0.011,0.041
0.166,0.136,0.113
0.109,0.034,-0.068
0.023,0.004,-0.045
0.147,0.079,-0.026
0.038,0.068,-0.117
0.109,0.102,-0.019
0.106,0.045,-0.004
0.155,0.068,-0.166
0.091,0.004,0.008
0.166,-0.041,0.015
0.124,0.015,0.011
0.124,0.079,0.064
0.124,0.008,0.019
0.143,0.023,0.072
0.091,0.015,-0.132
0.106,0.045,-0.053
0.106,0.087,0.041
0.094,0.068,0.03
0.109,0.045,0.03
0.091,0.038,-0.004
0.132,0.038,0.128
0.075,0.14,-0.03
0.06,-0.019,0.008
0.094,0.004,0.075
0.091,0.008,-0.041
0.094,0.057,-0.109
0.143,0.011,-0.124
0.098,-0.008,-0.041
0.132,0.06,-0.008
0.113,0.015,-0.057
0.151,0.019,0.015
0.113,0.091,0.034
0.023,0.079,0.041
0.106,0.124,-0.004
0.075,0.091,0.0
0.038,0.026,-0.075
0.091,0.064,0.041
0.068,0.068,0.102
0.166,0.049,0.064
0.098,0.038,-0.03
0.117,0.064,-0.011
0.166,0.075,-0.038
0.162,0.045,0.06
0.124,0.068,0.041
0.147,0.049,0.008
0.106,0.094,-0.038
0.143,0.091,0.166
0.132,0.034,0.14
0.113,0.072,-0.023
0.079,0.083,0.03
0.109,0.091,0.026
0.117,0.053,-0.109
0.098,0.075,0.053
0.06,0.079,0.008
0.019,0.049,0.064
0.068,0.079,0.026
0.064,0.008,0.113
0.109,0.0,0.102
0.102,0.038,0.011
0.083,0.053,-0.068
0.075,0.087,-0.011
0.098,-0.015,-0.034
0.102,0.023,-0.087
0.181,0.064,0.034
0.132,0.041,-0.053
0.079,0.038,-0.026
0.147,0.091,0.034
0.06,0.026,0.053
0.041,-0.023,-0.038
0.041,-0.015,-0.098
0.072,-0.004,0.091
0.098,0.053,0.075
0.019,0.087,-0.038
0.094,0.117,-0.098
0.147,0.034,0.06
0.117,0.06,-0.079
0.098,0.072,0.004
0.045,-0.053,-0.034
0.091,0.015,0.015
0.14,0.053,0.0
0.124,0.083,-0.06
0.091,0.019,-0.091
0.128,0.026,0.023
0.075,0.057,-0.034
0.011,0.045,-0.045
0.079,0.011,-0.113
0.079,0.079,-0.075
0.06,0.019,0.079
0.064,0.038,0.015
0.128,0.064,-0.026
0.136,0.015,0.106
0.109,-0.023,-0.038
0.143,-0.038,-0.091
0.162,0.045,0.034
0.109,0.06,0.026
0.136,0.008,0.041
0.083,-0.015,0.053
0.136,0.064,0.102
0.083,0.011,-0.038
0.045,0.053,-0.064
0.087,0.064,0.023
0.109,0.038,-0.041
0.147,0.091,0.064
0.087,0.023,0.015
0.098,0.019,0.03
0.128,0.06,-0.008
0.132,0.057,0.045
0.075,0.038,0.094
0.136,-0.008,-0.064
0.177,0.053,0.072
0.072,0.064,-0.019
0.124,0.075,-0.045
0.072,0.008,-0.03
0.06,0.041,-0.06
0.136,0.049,-0.049
0.102,0.011,-0.015
0.072,0.0,0.0
0.185,-0.019,-0.008
0.121,0.019,0.015
0.094,0.113,-0.064
0.109,0.094,-0.015
0.094,0.034,0.083
0.121,0.011,0.072
0.072,0.041,0.023
0.204,0.023,-0.026
0.14,0.068,-0.008
0.113,0.053,-0.015
0.083,0.004,-0.008
0.113,0.091,-0.072
0.098,0.057,-0.079
0.068,0.041,0.068
0.121,0.045,-0.06
0.132,0.128,0.019
0.151,0.03,-0.091
0.132,0.041,0.004
0.094,0.023,0.026
0.102,0.072,0.053
0.083,-0.049,0.0
0.087,0.038,-0.124
