x,y,z
0.2,-0.023,-0.057
0.121,-0.008,-0.041
0.109,-0.053,0.034
0.109,0.008,0.0
0.181,0.011,-0.015
0.147,0.053,-0.03
0.147,0.102,-0.094
0.132,0.132,-0.162
0.109,0.049,-0.038
0.106,0.064,-0.034
0.064,0.026,-0.064
0.155,0.094,-0.068
0.132,0.03,-0.057
0.147,0.038,-0.034
0.094,0.053,0.004
0.087,0.098,-0.128
0.087,0.091,-0.034
0.06,0.026,0.041
0.094,0.038,-0.091
0.098,0.038,0.015
0.094,0.087,0.079
0.185,0.038,0.075
0.109,0.038,0.079
0.158,0.098,0.057
0.053,0.102,0.113
0.083,-0.008,0.049
0.098,-0.011,-0.098
0.091,0.049,-0.098
0.147,0.053,0.064
0.177,0.064,-0.008
0.124,-0.015,0.015
0.124,0.03,-0.034
0.117,0.015,-0.045
0.109,0.019,0.049
0.087,-0.004,0.011
0.109,0.045,-0.068
0.049,-0.015,-0.03
0.087,0.034,0.072
0.083,-0.026,-0.026
0.008,0.026,-0.041
0.113,0.019,0.117
0.124,0.015,0.06
0.136,0.011,0.057
0.143,0.038,-0.026
0.124,0.03,0.011
0.109,0.06,-0.019
0.14,0.026,0.004
0.109,0.03,0.053
0.094,0.038,-0.057
0.158,0.019,0.083
0.113,0.075,0.019
0.083,0.019,0.038
0.109,0.091,0.015
0.166,0.091,-0.068
0.094,-0.026,-0.023
0.136,0.026,0.041
0.124,0.049,-0.015
0.109,-0.03,0.008
0.064,0.045,-0.136
0.079,0.034,0.0
0.083,0.091,-0.091
0.106,0.019,-0.057
0.162,0.004,-0.068
0.158,0.034,0.034
0.226,0.106,0.121
0.128,0.14,0.008
0.117,0.121,0.041
0.087,-0.015,0.049
0.087,0.041,0.045
0.117,0.079,-0.06
0.113,0.057,-0.011
0.109,0.14,0.038
0.057,0.057,0.064
0.117,0.011,-0.098
0.075,0.019,0.102
0.098,0.049,0.034
0.132,0.087,0.128
0.132,0.064,0.0
0.049,-0.023,-0.124
0.026,-0.015,-0.019
0.068,-0.011,0.0
0.094,0.019,-0.087
0.117,0.06,0.045
0.238,0.098,0.087
0.17,0.072,-0.083
0.158,0.045,-0.004
0.124,0.034,0.0
0.087,0.049,-0.087
0.207,0.019,-0.049
0.117,0.053,-0.079
0.109,-0.008,-0.008
0.079,-0.015,0.098
0.064,0.034,-0.011
0.091,0.049,0.053
0.106,0.053,-0.064
0.094,-0.034,-0.045
0.094,0.128,-0.019
0.181,0.019,0.075
0.113,0.026,-0.008
0.117,0.094,-0.091
0.136,0.098,-0.008
0.064,0.079,-0.038
0.015,0.0,0.004
0.057,0.079,0.034
0.143,0.023,-0.015
0.117,0.049,-0.008
0.049,0.091,-0.075
0.098,0.057,-0.004
0.102,0.091,-0.083
0.064,0.075,0.004
0.079,0.06,0.038
0.117,0.011,0.147
0.053,-0.015,0.049
0.151,0.049,-0.034
0.072,0.045,-0.034
0.072,0.034,-0.072
0.117,0.075,0.079
0.117,0.03,-0.03
0.091,0.034,0.094
0.136,0.049,0.023
0.132,0.023,-0.117
0.053,0.038,-0.113
0.03,0.038,-0.079
0.091,0.03,-0.068
0.117,0.03,0.041
0.094,0.098,0.038
0.079,0.128,0.026
0.143,0.113,-0.004
0.06,0.075,0.098
0.079,-0.011,0.049
0.113,0.06,0.015
0.102,0.045,0.068
0.147,0.034,-0.121
0.162,0.049,-0.068
0.147,0.03,-0.068
0.162,-0.045,-0.053
0.155,0.019,-0.045
0.072,0.026,0.0
0.075,0.019,0.075
0.072,-0.034,0.019
0.064,0.03,0.008
0.136,0.045,-0.023
0.098,0.03,-0.109
0.079,0.041,-0.004
0.06,0.057,0.015
0.117,0.132,0.094
0.075,-0.008,-0.045
0.14,-0.019,-0.015
0.106,0.06,-0.034
0.068,0.064,-0.049
0.124,0.038,-0.075
0.102,0.011,-0.166
0.192,0.011,-0.019
0.192,0.064,0.049
0.106,0.057,-0.064
0.132,-0.03,0.06
0.132,0.041,-0.064
0.132,0.041,0.011
0.094,0.064,-0.124
0.158,0.091,-0.004
0.177,0.011,-0.068
0.124,0.06,-0.155
0.117,-0.045,-0.196
0.124,0.011,-0.06
0.132,0.004,0.03
0.109,0.087,-0.057
0.064,0.068,0.03
0.072,0.019,0.011
0.166,0.087,-0.045
0.128,0.079,-0.026
0.079,0.026,-0.023
0.091,0.06,-0.038
0.106,0.155,-0.015
0.132,0.113,-0.053
0.094,0.094,-0.068
0.124,0.075,0.038
0.128,0.075,-0.019
0.106,0.026,-0.113
0.155,0.094,0.041
0.147,0.109,0.008
0.14,0.0,-0.015
0.143,0.094,-0.117
0.079,0.053,-0.143
0.102,0.049,0.106
0.128,0.14,0.008
0.098,0.053,-0.075
0.106,0.004,-0.143
0.117,0.041,-0.011
-0.004,0.034,-0.03
0.083,0.147,0.064
0.113,0.079,0.034
0.091,0.026,-0.015
0.109,0.0,0.034
0.162,-0.023,-0.045
0.189,0.079,-0.106
0.17,0.094,-0.03
0.094,0.151,-0.102
0.049,0.087,0.038
0.106,-0.004,-0.174
0.155,-0.004,-0.072
0.06,0.068,-0.004
0.068,-0.03,-0.023
0.181,0.079,-0.136
0.098,0.045,-0.004
0.091,0.079,-0.117
0.094,0.072,-0.113
0.094,0.075,-0.075
0.124,0.03,0.015
0.098,0.113,0.064
0.132,0.14,-0.034
0.181,0.034,-0.008
0.147,0.053,0.057
0.185,0.03,0.079
0.192,-0.019,0.026
0.087,0.026,0.004
0.072,0.053,-0.011
0.087,0.008,0.004
0.094,0.109,0.049
0.143,0.075,0.106
0.098,0.091,0.162
0.113,0.038,-0.03
0.158,0.019,-0.057
0.143,0.064,0.049
0.128,0.034,-0.102
0.094,0.064,-0.068
0.072,0.0,-0.004
0.136,0.038,0.075
0.124,0.045,0.008
0.143,0.094,0.068
0.174,0.049,-0.015
0.124,0.03,-0.06
0.124,0.041,0.034
0.072,0.015,-0.049
0.057,-0.015,-0.019
0.079,0.057,-0.098
0.053,0.068,0.038
0.064,0.064,-0.008
0.087,0.068,-0.008
0.094,0.079,-0.004
0.098,0.045,-0.049
0.132,0.004,-0.041
0.174,-0.011,0.034
0.128,0.072,0.008
0.008,0.03,0.045
0.106,0.004,0.015
0.098,0.038,0.091
0.121,0.079,0.064
0.124,0.102,0.019
0.147,0.03,-0.019
0.106,0.023,-0.17
-0.015,-0.072,-0.038
0.124,0.072,0.094
0.109,0.041,0.075
0.057,0.06,0.004
0.14,0.026,0.072
0.143,0.019,0.03
0.049,0.015,-0.008
0.045,0.03,-0.079
0.049,0.023,0.053
0.083,0.034,0.008
0.106,0.072,-0.038
0.155,0.0,0.057
0.045,-0.045,-0.041
0.064,0.049,0.011
0.174,0.045,0.091
0.204,0.102,0.075
0.019,0.068,-0.011
0.132,0.124,0.008
0.124,0.041,0.087
0.079,0.015,-0.015
0.079,0.087,-0.106
0.162,0.045,-0.072
0.075,0.102,0.034
0.072,0.06,-0.008
0.189,0.087,0.019
0.2,0.113,0.06
0.128,0.064,-0.03
0.155,0.068,-0.087
0.189,-0.011,0.015
0.121,0.03,-0.075
0.113,0.03,-0.128
0.075,0.124,-0.049
0.147,0.038,-0.015
0.106,0.049,-0.045
0.045,-0.004,0.057
0.083,0.087,-0.011
0.083,0.075,-0.087
0.06,0.057,-0.03
0.109,0.026,-0.185
0.113,-0.015,-0.064
0.117,0.008,0.0
0.151,-0.015,-0.098
0.068,0.083,0.0
0.023,-0.008,-0.109
0.174,0.053,-0.06
0.185,0.091,-0.049
0.147,0.026,0.0
0.068,0.026,0.008
0.075,0.023,-0.128
0.256,0.026,0.011
0.124,-0.041,0.064
0.068,0.049,0.011
0.109,0.075,0.011
0.151,0.068,0.038
0.174,0.06,0.026
0.064,0.053,0.03
0.064,0.015,0.023
0.109,0.064,0.038
0.166,0.064,0.034
0.117,0.057,-0.109
0.117,-0.019,-0.075
0.087,0.034,0.034
0.14,0.109,0.06
0.109,0.068,-0.041
0.079,0.041,-0.015
0.124,0.008,-0.053
0.094,0.034,-0.083
0.162,0.008,-0.019
0.124,0.023,0.068
0.2,0.087,0.109
0.136,0.041,0.124
0.174,0.023,-0.068
0.102,0.064,-0.008
0.079,0.083,-0.038
0.106,0.068,0.008
0.211,0.023,-0.041
0.117,0.041,-0.083
0.17,0.019,0.004
0.143,-0.019,0.008
0.17,0.094,-0.015
0.14,0.083,-0.011
0.124,0.053,0.019
0.075,0.06,-0.121
0.132,0.121,0.026
0.098,0.087,0.083
0.004,0.03,-0.072
0.143,0.064,-0.011
0.117,-0.038,-0.072
0.091,0.0,-0.083
0.072,0.004,0.0
0.2,0.019,-0.004
0.121,-0.057,0.004
0.072,0.019,0.057
0.026,0.019,0.038
0.109,-0.034,-0.03
0.053,0.0,0.038
0.064,0.075,0.015
0.091,0.034,0.091
0.158,0.053,0.068
0.124,0.057,-0.045
0.075,-0.011,-0.004
0.094,0.008,0.038
0.098,-0.011,-0.011
0.053,0.011,-0.094
0.117,0.034,-0.053
0.204,0.091,0.053
0.106,0.0,0.094
0.158,0.026,0.045
0.181,0.038,-0.023
0.106,0.038,-0.011
0.015,0.008,-0.038
0.128,0.015,-0.132
0.045,0.083,-0.064
0.121,0.079,-0.03
0.041,0.034,0.064
0.113,0.064,0.083
0.109,0.075,-0.053
0.14,0.03,-0.064
0.053,0.03,-0.06
0.091,0.053,0.03
0.098,0.06,-0.008
0.113,0.034,0.072
0.211,0.019,0.079
0.158,0.136,-0.023
0.124,0.004,-0.075
0.113,0.045,0.045
0.06,0.004,-0.053
0.158,0.038,-0.034
0.177,0.068,0.004
0.124,0.158,-0.049
0.109,0.03,-0.023
0.106,0.011,0.098
0.117,0.068,-0.049
0.14,0.045,0.015
0.098,0.053,-0.034
0.147,0.053,-0.03
0.136,-0.008,-0.03
0.011,0.053,0.072
0.124,0.045,-0.057
0.068,0.0,-0.053
0.147,0.091,-0.075
0.17,0.004,0.034
0.068,0.072,0.113
0.064,0.109,0.03
0.023,0.064,0.087
0.083,0.049,0.075
0.113,0.06,0.004
0.14,0.026,-0.068
0.091,-0.038,0.068
0.053,0.038,0.015
0.038,0.045,0.0
0.075,0.041,-0.049
0.162,0.087,0.023
0.038,0.079,0.004
0.057,0.0,0.0
0.102,0.045,0.106
0.204,0.038,0.068
0.151,0.106,0.057
0.057,0.045,0.041
0.068,-0.011,-0.011
0.113,0.049,-0.049
0.121,0.03,0.011
0.128,-0.049,-0.03
0.06,-0.004,-0.091
0.091,0.072,0.011
0.121,0.075,-0.026
0.075,0.087,0.023
0.094,0.049,-0.072
0.143,-0.026,0.079
0.068,0.026,0.083
0.098,0.023,0.045
0.102,0.087,0.004
0.053,0.072,0.113
0.136,0.064,-0.015
0.132,-0.004,-0.041
0.121,0.041,0.057
0.121,0.102,0.023
0.041,0.034,-0.121
0.064,0.113,-0.094
0.053,0.075,-0.094
0.102,0.072,-0.004
0.17,0.049,0.011
0.155,0.057,0.008
0.057,0.03,0.03
0.057,0.064,0.038
0.17,0.057,0.087
0.079,0.023,0.038
0.068,0.057,-0.072
0.015,0.045,-0.004
0.008,0.041,-0.008
0.151,0.03,-0.026
0.113,0.083,0.026
0.106,0.068,-0.057
0.087,0.019,0.041
0.091,0.083,-0.17
0.121,0.113,-0.072
0.117,0.113,0.068
0.136,0.023,0.132
0.075,0.057,0.004
0.177,0.053,0.045
0.14,0.079,-0.117
0.075,0.049,-0.049
0.128,0.064,-0.045
0.098,-0.019,0.128
0.079,0.004,-0.049
0.113,0.094,-0.004
0.124,0.091,0.064
0.06,0.034,0.038
0.162,0.072,0.057
0.14,0.075,-0.034
0.174,0.038,0.023
0.03,0.045,-0.075
0.045,0.008,-0.03
0.064,0.057,-0.049
0.124,0.038,-0.034
0.17,-0.011,-0.109
0.109,0.079,-0.038
0.045,0.038,-0.075
0.136,0.083,-0.008
0.045,0.106,-0.038
0.075,0.057,-0.087
0.121,0.019,-0.121
0.147,0.011,-0.102
0.109,0.015,-0.072
0.121,0.098,0.03
0.083,0.072,0.06
0.094,0.121,0.023
0.041,0.091,-0.004
0.072,0.026,-0.106
0.087,-0.011,-0.102
0.098,0.049,-0.019
0.091,0.045,0.004
0.102,-0.008,-0.015
0.094,-0.004,0.121
0.132,-0.019,0.023
0.087,0.008,-0.106
0.098,-0.057,-0.049
0.064,0.008,0.041
0.098,0.008,-0.041
0.038,0.008,-0.053
0.049,-0.023,0.015
0.045,-0.045,0.064
0.068,0.0,0.008
0.06,0.053,-0.072
0.132,0.064,-0.072
0.117,0.03,-0.004
0.091,0.004,0.034
0.087,0.034,0.015
0.068,0.045,-0.124
0.113,0.057,-0.045
0.102,0.068,-0.128
0.181,0.019,-0.053
0.038,0.026,-0.072
0.019,-0.057,-0.06
0.026,0.034,0.026
0.045,0.049,-0.041
0.132,0.034,0.019
0.083,0.034,0.053
0.102,0.064,0.019
0.109,-0.011,-0.064
0.106,-0.008,-0.041
0.06,-0.015,-0.121
0.06,0.041,0.045
0.079,0.034,0.019
0.015,-0.026,0.06
0.026,0.038,0.004
0.094,0.091,0.011
0.14,0.023,-0.113
0.083,0.019,0.004
0.158,0.06,0.019
0.147,0.109,0.038
0.121,0.049,0.06
0.121,-0.026,0.06
0.015,-0.023,-0.011
0.049,0.053,-0.023
0.102,0.008,-0.023
0.098,0.094,0.004
0.109,0.128,-0.045
0.14,0.147,0.087
0.083,0.121,0.026
0.189,0.068,0.03
0.151,0.008,-0.015
0.091,0.023,-0.011
0.019,-0.072,0.041
0.158,0.008,-0.004
0.075,0.019,-0.038
0.087,-0.008,-0.008
0.128,0.045,0.057
0.117,0.026,0.004
0.121,0.06,-0.034
0.049,-0.049,0.008
0.064,0.057,0.038
0.166,0.057,0.053
0.14,0.091,0.049
0.102,0.075,0.06
0.075,0.049,-0.019
0.049,0.038,-0.038
0.072,0.023,-0.03
0.091,0.091,-0.091
0.023,-0.008,0.049
0.113,0.045,0.038
0.166,0.113,-0.072
0.147,0.102,-0.079
0.14,-0.004,-0.015
0.155,0.038,-0.041
0.06,0.011,-0.011
0.0,-0.011,0.026
0.064,0.034,-0.038
0.064,0.102,-0.098
0.117,0.03,0.057
0.185,0.008,0.106
0.106,-0.004,-0.015
0.091,0.072,-0.03
0.143,0.064,-0.045
0.136,0.094,-0.132
0.098,0.057,-0.098
0.158,-0.011,0.143
0.117,0.068,-0.102
0.098,0.049,-0.083
0.079,-0.034,-0.121
0.124,0.094,0.034
0.117,0.026,-0.053
0.06,0.057,-0.106
0.091,0.068,-0.075
0.068,0.117,-0.034
